x,y,z
-910.6038,683.50745,1626.0
-902.2034,671.5587,1611.0
-902.2034,665.91534,1611.0
-902.2034,660.27203,1611.0
-902.2034,654.6286,1611.0
-906.1236,651.8052,1618.0
-902.2034,643.3419,1611.0
-902.2034,637.6986,1611.0
-902.2034,632.05524,1611.0
-910.6038,632.2444,1626.0
-915.08405,629.63116,1634.0
-915.08405,623.9072,1634.0
-915.08405,618.1833,1634.0
-915.08405,612.45935,1634.0
-915.08405,606.7355,1634.0
-919.0042,603.58624,1641.0
-919.0042,-51.736,1641.0
-919.0042,-57.484432,1641.0
-919.0042,-172.45322,1641.0
-919.0042,-178.20164,1641.0
-919.0042,-183.95009,1641.0
-919.0042,-189.69852,1641.0
-919.0042,-195.44696,1641.0
-900.46027,680.14453,1618.0
-900.46027,674.4767,1618.0
-904.9125,672.11566,1626.0
-909.36475,669.6986,1634.0
-909.36475,663.9747,1634.0
-913.2604,661.0707,1641.0
-909.36475,652.5268,1634.0
-909.36475,646.8029,1634.0
-909.36475,641.079,1634.0
-909.36475,635.3551,1634.0
-913.2604,632.3284,1641.0
-913.2604,626.58,1641.0
-913.2604,620.83154,1641.0
-913.2604,615.0831,1641.0
-913.2604,-172.45322,1641.0
-903.6455,675.42255,1634.0
-907.51666,655.3222,1641.0
-903.6455,646.8029,1634.0
-903.6455,641.079,1634.0
-907.51666,638.0769,1641.0
-316.1877,-253.15558,623.0
-314.66513,-254.1084,620.0
-313.6501,-255.45355,618.0
-313.50308,-252.74922,622.0
-310.4789,-252.469,616.0
-309.4709,-253.80013,614.0
-311.8265,-250.9732,623.0
-310.32492,-251.93654,620.0
-307.32178,-251.64929,614.0
-305.82022,-252.56006,611.0
-309.14886,-250.57037,622.0
-307.16077,-251.12384,618.0
-305.17267,-251.64929,614.0
-303.6816,-252.56006,611.0
-307.46527,-248.79083,623.0
-305.9847,-249.76466,620.0
-303.5171,-249.90479,615.0
-302.03653,-250.82957,612.0
-301.54303,-252.56006,611.0
-305.2847,-246.60847,623.0
-303.8146,-247.59279,620.0
-303.8146,-249.76466,620.0
-302.34454,-250.71748,617.0
-300.38446,-251.23943,613.0
-298.42435,-251.73337,609.0
-302.61755,-244.03374,622.0
-301.158,-245.02512,619.0
-300.67148,-246.79413,618.0
-300.67148,-248.95897,618.0
-299.6984,-250.31113,616.0
-298.72537,-251.64929,614.0
-296.29276,-251.73337,609.0
-303.3386,-241.98796,628.0
-302.8556,-243.79903,627.0
-300.9235,-244.42606,623.0
-298.9914,-245.02512,619.0
-298.50836,-246.79413,618.0
-298.02536,-248.55614,617.0
-296.57626,-249.49843,614.0
-295.61023,-250.82957,612.0
-293.67813,-251.32,608.0
-300.66095,-241.60265,627.0
-300.18146,-243.41019,626.0
-298.26334,-244.03374,622.0
-296.34525,-244.62926,618.0
-295.86572,-246.39478,617.0
-294.90668,-247.75043,615.0
-293.94763,-249.0921,613.0
-292.98862,-250.41974,611.0
-291.55002,-251.32,608.0
-299.41843,-240.16992,629.0
-298.46637,-241.60265,627.0
-296.56226,-242.24368,623.0
-296.08624,-244.03374,622.0
-294.18216,-244.62926,618.0
-293.23013,-245.99542,616.0
-292.27808,-247.3476,614.0
-291.80203,-249.0921,613.0
-290.85,-250.41974,611.0
-289.89795,-251.73337,609.0
-297.2168,-237.9665,629.0
-296.74426,-239.78807,628.0
-295.32672,-240.83197,625.0
-293.90915,-241.85486,622.0
-292.96408,-243.24904,620.0
-291.54654,-244.23341,617.0
-290.60147,-245.59608,615.0
-289.65643,-246.94475,613.0
-289.1839,-248.68575,612.0
-288.7114,-250.41974,611.0
-287.76636,-251.73337,609.0
-295.01517,-237.9665,629.0
-292.20105,-237.87894,623.0
-292.20105,-240.06131,623.0
-290.32495,-240.68834,619.0
-289.3869,-242.07204,617.0
-288.91788,-243.83759,616.0
-288.44888,-245.59608,615.0
-287.51083,-246.94475,613.0
-287.0418,-248.68575,612.0
-286.57278,-250.41974,611.0
-285.63474,-251.73337,609.0
-292.8136,-235.76312,629.0
-291.88257,-237.20987,627.0
-290.486,-238.26077,624.0
-289.55496,-239.67598,622.0
-288.15836,-240.68834,619.0
-287.22733,-242.07204,617.0
-286.76178,-243.83759,616.0
-285.83075,-245.19676,614.0
-284.89972,-246.54189,612.0
-284.4342,-248.2794,611.0
-284.4342,-250.41974,611.0
-283.50314,-251.73337,609.0
-298.46637,-230.82039,646.0
-298.46637,-233.08333,646.0
-298.46637,-235.34628,646.0
-289.22592,-234.63867,626.0
-288.7639,-236.45322,625.0
-287.3778,-237.49712,622.0
-285.99176,-238.51997,619.0
-285.06772,-239.91068,617.0
-284.60568,-241.67969,616.0
-284.14368,-243.44176,615.0
-283.21964,-244.79741,613.0
-282.7576,-246.54189,612.0
-282.29556,-248.2794,611.0
-281.37152,-249.60004,609.0
-280.90952,-251.32,608.0
-295.74673,-228.20363,645.0
-296.20526,-230.82039,646.0
-295.74673,-232.72252,645.0
-297.12228,-236.07489,648.0
-290.703,-233.19542,634.0
-287.95184,-233.18842,628.0
-286.5763,-234.26384,625.0
-286.11777,-236.07489,624.0
