x,y,z
-194.04933,-243.83759,616.0
-191.58171,-243.44176,615.0
-190.95868,-244.79741,613.0
-190.33565,-246.13905,611.0
-189.71262,-247.46669,609.0
-189.42911,-241.28735,615.0
-189.12111,-243.0459,614.0
-188.50507,-244.39806,612.0
-187.58102,-245.33336,609.0
-187.27301,-247.06033,608.0
-186.04095,-247.55077,604.0
-184.50089,-247.5998,599.0
-187.2765,-241.28735,615.0
-186.66748,-242.65005,613.0
-186.05844,-243.9987,611.0
-184.8404,-244.52768,607.0
-184.23137,-245.84131,605.0
-183.62234,-247.1409,603.0
-183.01329,-248.42651,601.0
-188.13405,-240.83197,625.0
-184.52188,-240.50269,613.0
-184.22087,-242.25423,612.0
-183.91985,-243.9987,611.0
-182.41478,-244.12482,606.0
-182.7158,-246.65399,607.0
-181.51175,-247.1409,603.0
-180.60869,-248.01315,600.0
-185.94644,-238.6426,625.0
-185.35141,-240.06131,623.0
-183.56633,-239.91068,617.0
-182.67378,-240.89503,614.0
-182.37628,-242.65005,613.0
-181.18622,-243.20004,609.0
-180.29367,-244.12482,606.0
-180.29367,-246.24767,606.0
-180.29367,-248.37048,606.0
-178.50859,-248.01315,600.0
-183.46481,-238.26077,624.0
-181.99474,-238.51997,619.0
-181.11272,-239.52185,616.0
-180.52467,-240.89503,614.0
-179.64264,-241.85837,611.0
-178.46658,-242.40134,607.0
-177.58453,-243.31914,604.0
-177.29051,-245.0286,603.0
-177.29051,-247.1409,603.0
-176.7025,-248.42651,601.0
-179.24713,-237.74933,617.0
-178.66609,-239.13303,615.0
-178.08507,-240.50269,613.0
-176.92302,-241.0667,609.0
-176.34198,-242.40134,607.0
-175.47044,-243.31914,604.0
-174.88942,-244.62225,602.0
-174.5989,-246.32121,601.0
-174.30838,-248.01315,600.0
-176.80049,-237.36398,616.0
-176.51349,-239.13303,615.0
-175.65245,-240.11034,612.0
-174.5044,-240.67087,608.0
-173.93036,-242.002,606.0
-173.35634,-243.31914,604.0
-172.7823,-244.62225,602.0
-172.49529,-246.32121,601.0
-171.92126,-247.5998,599.0
-173.51036,-240.11034,612.0
-172.09279,-240.27501,607.0
-171.52576,-241.60265,605.0
-170.95874,-242.91628,603.0
-170.67522,-244.62225,602.0
-170.10818,-245.91135,600.0
-169.54117,-247.18645,598.0
-173.04832,-242.46439,618.0
-170.24818,-240.67087,608.0
-169.40816,-241.60265,605.0
-169.12814,-243.31914,604.0
-168.2881,-244.2159,601.0
-167.72807,-245.50151,599.0
-167.44806,-247.18645,598.0
-171.43825,-241.0772,620.0
-171.43825,-243.24904,620.0
-168.12007,-240.67087,608.0
-167.01402,-241.20332,604.0
-166.461,-242.51344,602.0
-166.1845,-244.2159,601.0
-165.63145,-245.50151,599.0
-165.07843,-246.77309,597.0
-168.99513,-238.51997,619.0
-169.26814,-241.0772,620.0
-169.26814,-243.24904,620.0
-168.99513,-245.02512,619.0
-164.35391,-240.40463,602.0
-164.35391,-242.51344,602.0
-164.0809,-244.2159,601.0
-164.0809,-246.32121,601.0
-163.53488,-247.5998,599.0
-166.55902,-235.96979,618.0
-166.55902,-238.13466,618.0
-166.82852,-240.68834,619.0
-166.82852,-242.8567,619.0
-166.82852,-245.02512,619.0
-166.28949,-246.39478,617.0
-165.75047,-247.75043,615.0
-161.97728,-244.2159,601.0
-161.70778,-245.91135,600.0
-160.89923,-246.77309,597.0
-164.92793,-243.24904,620.0
-164.92793,-245.42094,620.0
-164.1299,-246.39478,617.0
-163.59787,-247.75043,615.0
-163.06586,-249.0921,613.0
-159.60768,-245.91135,600.0
-158.54362,-246.35973,596.0
-163.54536,-244.42606,623.0
-162.75783,-245.42094,620.0
-162.2328,-246.79413,618.0
-161.97029,-248.55614,617.0
-161.18275,-249.49843,614.0
-160.65773,-250.82957,612.0
-156.72005,-246.77309,597.0
-163.69586,-245.7432,632.0
-161.62376,-244.81839,624.0
-161.36475,-246.60847,623.0
-160.06969,-246.79413,618.0
-160.06969,-248.95897,618.0
-159.03363,-249.49843,614.0
-158.77463,-251.23943,613.0
-157.73857,-251.73337,609.0
-162.50583,-240.61478,636.0
-162.2503,-242.46086,635.0
-161.48378,-243.5293,632.0
-160.46172,-244.18785,628.0
-159.69519,-245.21074,625.0
-159.18416,-246.60847,623.0
-157.9066,-246.79413,618.0
-157.9066,-248.95897,618.0
-156.88455,-249.49843,614.0
-156.37352,-250.82957,612.0
-155.607,-251.73337,609.0
-153.9794,-156.2448,611.0
-153.9794,-158.38512,611.0
-153.9794,-160.52547,611.0
-153.22337,-161.86711,608.0
-152.97136,-163.72722,607.0
-152.97136,-165.85353,607.0
-160.78374,-239.1365,638.0
-160.2797,-240.61478,636.0
-160.2797,-242.8427,636.0
-160.0277,-244.68529,635.0
-158.0116,-243.79903,627.0
-157.00356,-244.42606,623.0
-156.24751,-245.42094,620.0
-155.9955,-247.19347,619.0
-155.7435,-248.95897,618.0
-155.23946,-250.31113,616.0
-154.48343,-251.23943,613.0
-153.47537,-251.73337,609.0
-152.58635,-148.40855,614.0
-152.58635,-150.5594,614.0
-152.58635,-152.71025,614.0
-152.33784,-154.60889,613.0
-152.08932,-156.50052,612.0
-151.8408,-158.38512,611.0
-151.8408,-160.52547,611.0
-151.3438,-162.13333,609.0
-151.8408,-164.80614,611.0
-151.8408,-166.94649,611.0
-151.8408,-169.0868,611.0
-158.79915,-237.27293,639.0
-158.79915,-239.51134,639.0
-158.0536,-240.61478,636.0
-157.8051,-242.46086,635.0
-157.30807,-243.91463,633.0
-156.81105,-245.35437,631.0
-155.31998,-245.21074,625.0
-154.07741,-245.42094,620.0
-153.82892,-247.19347,619.0
-153.5804,-248.95897,618.0
-153.33188,-250.71748,617.0
-152.83485,-252.05913,615.0
-151.3438,-251.73337,609.0
-150.68225,-144.34154,615.0
-150.43724,-146.25772,614.0
-150.43724,-148.40855,614.0
-150.43724,-150.5594,614.0
-150.43724,-152.71025,614.0
-150.19223,-154.60889,613.0
-149.94722,-156.50052,612.0
-149.70221,-158.38512,611.0
-149.70221,-160.52547,611.0
-149.70221,-162.6658,611.0
-149.94722,-165.07587,612.0
-149.70221,-166.94649,611.0
-149.94722,-169.36356,612.0
-148.96716,-198.07423,608.0
