x,y,z
-187.27301,-240.67087,608.0
-186.04095,-241.20332,604.0
-185.73293,-242.91628,603.0
-185.42493,-244.62225,602.0
-185.42493,-246.73106,602.0
-185.14491,-238.54099,608.0
-184.53587,-239.87918,606.0
-183.62234,-240.80397,603.0
-183.31781,-242.51344,602.0
-183.01329,-244.2159,601.0
-182.40427,-245.50151,599.0
-180.8817,-245.53304,594.0
-182.41478,-237.75633,606.0
-181.81276,-239.08751,604.0
-181.51175,-240.80397,603.0
-181.21072,-242.51344,602.0
-180.3077,-243.40318,599.0
-179.40463,-244.27196,596.0
-178.80261,-245.53304,594.0
-179.69864,-236.97165,604.0
-179.69864,-239.08751,604.0
-179.10362,-240.40463,602.0
-178.8061,-242.1106,601.0
-178.21107,-243.40318,599.0
-177.61604,-244.6818,597.0
-176.7235,-245.53304,594.0
-180.23067,-236.208,613.0
-179.0546,-236.8,609.0
-177.58453,-236.97165,604.0
-177.29051,-238.69165,603.0
-176.9965,-240.40463,602.0
-176.4085,-241.70773,600.0
-175.52644,-242.59052,597.0
-175.23242,-244.27196,596.0
-174.93842,-245.94637,595.0
-177.79456,-235.82268,612.0
-176.63249,-236.41116,608.0
-175.47044,-236.97165,604.0
-175.17993,-238.69165,603.0
-174.5989,-240.00528,601.0
-174.01788,-241.3049,599.0
-173.14635,-242.18416,596.0
-172.85582,-243.86209,595.0
-172.5653,-245.53304,594.0
-175.93947,-236.208,613.0
-174.21738,-236.02234,607.0
-173.35634,-236.97165,604.0
-173.06934,-238.69165,603.0
-172.49529,-240.00528,601.0
-171.92126,-241.3049,599.0
-171.06023,-242.18416,596.0
-170.77321,-243.86209,595.0
-170.19919,-245.11969,593.0
-173.51036,-235.82268,612.0
-172.3763,-236.41116,608.0
-171.24225,-236.97165,604.0
-170.95874,-238.69165,603.0
-170.39171,-240.00528,601.0
-169.82469,-241.3049,599.0
-168.97414,-242.18416,596.0
-168.40712,-243.45224,594.0
-167.84009,-244.70633,592.0
-170.5282,-236.8,609.0
-169.40816,-237.36398,605.0
-168.84813,-238.69165,603.0
-168.2881,-240.00528,601.0
-167.72807,-241.3049,599.0
-166.60802,-241.7778,595.0
-166.328,-243.45224,594.0
-165.48796,-244.29297,591.0
-169.22614,-237.9665,612.0
-169.22614,-240.11034,612.0
-166.73752,-238.69165,603.0
-165.63145,-239.2066,599.0
-165.07843,-240.49919,597.0
-164.52542,-241.7778,595.0
-164.24889,-243.45224,594.0
-163.41936,-244.29297,591.0
-166.81104,-235.43733,611.0
-167.08405,-237.9665,612.0
-166.81104,-239.71802,611.0
-166.81104,-241.85837,611.0
